proteins	genes	gene_name	kcat	rxns	notes	stoicho
P09373 + P0A9N4	b0903 and b0902	b0903 and b0902	0.1	PFL	test_8	1 + 1
P0A9N4 + P42632	b0902 and b3114	b0902 and b3114	0.1	PFL	test_8	1 + 1
P32674 + P32675	b3951 and b3952	b3951 and b3952	0.1	PFL	test_8	1 + 1
P09373 + P0A9N4 + P68066	b0903 and b0902 and b2579	b0903 and b0902 and b2579	18	PFL	test_8	1 + 1 + 1
P0A6T3	b0757	b0757	146	GALKr	test_1	1
P52643	b1380	b1380	100	LDH_D_REV	test_9	1
P77580	b0351	b0351	1.923	ACALD_REV	test_10	1
P0A9Q7	b1241	b1241	0.1	ACALD_REV	test_10	1
P0A6A3	b2296	b2296	0.1	ACKr_REV	BRENDA	1
P33221	b1849	b1849	80.605	ACKr_REV	BRENDA	1
P11868	b3115	b3115	0.1	ACKr_REV	BRENDA	1